Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",76.250010,-59.250001,180.000000,bottom
"C1","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",57.750001,-59.250001,180.000000,bottom
"C2","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",76.250010,-62.250001,180.000000,bottom
"C2","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",57.750001,-62.250001,180.000000,bottom
"C3","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",76.287510,-65.250001,180.000000,bottom
"C3","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",57.787501,-65.250001,180.000000,bottom
"C4","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",76.287510,-68.250001,180.000000,bottom
"C4","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",57.787501,-68.250001,180.000000,bottom
"C5","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",76.287510,-71.250001,180.000000,bottom
"C5","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",57.787501,-71.250001,180.000000,bottom
"C6","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",76.287510,-74.250001,180.000000,bottom
"C6","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",57.787501,-74.250001,180.000000,bottom
"C7","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",76.287510,-77.250001,180.000000,bottom
"C7","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",57.787501,-77.250001,180.000000,bottom
"C8","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",76.287510,-80.250001,180.000000,bottom
"C8","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",57.787501,-80.250001,180.000000,bottom
